DeFi Degen Land,0x88803312628fd21542f706b0c7dc8495c1c10b2e,Binance Smart Chain (BEP20),False,15,16
Astra Guild Ventures,N/A,N/A,N/A,N/A,N/A,Uniswap (V3),BitMart,USDC/AGV,0,AGV/USDT,15.0
NSHARE,N/A,N/A,N/A,N/A,N/A
UNQclub,N/A,N/A,N/A,N/A,N/A
Swirge,0xe792f64c582698b8572aaf765bdc426ac3aefb6b,Binance Smart Chain (BEP20),False,0,0,MEXC,Hotbit,SWG/USDT,18.0,SWG/ETH,2.0
MoonsDust,0x6ca5fac496bf94345958635e6e6171dfe78f36bb,Binance Smart Chain (BEP20),False,0,0
Alpha Brain Capital,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),ABC/WETH,0
Doge Run,0x29b86ecb7d434a5571f959f1c9a812b7aab34894,Binance Smart Chain (BEP20),False,11,11,PancakeSwap (V2),DRUN/WBNB,0
WebDollar,N/A,N/A,N/A,N/A,N/A,IndoEx,IndoEx,VinDAX,VinDAX,WEBD/ETH,1.0,WEBD/USDT,1.0,WEBD/VD,1.0,WEBD/ETH,1.6261227283
MILC Platform,0x4518231a8fdf6ac553b9bbd51bbb86825b583263,Binance Smart Chain (BEP20),False,0,0
EQIFI,0x436c52a8cee41d5e9c5e6f4cb146e66d552fb700,Binance Smart Chain (BEP20),False,0,0,KuCoin,Uniswap (V2),Gate.io,KuCoin,PancakeSwap (V2),CoinEx,BKEX,HitBTC,Changelly PRO,HitBTC,Changelly PRO,ZT,XT.COM,XT.COM,EQX/USDT,272.0,EQX/WETH,0,EQX/USDT,212.0,EQX/BTC,195.0,EQX/WBNB,0,EQX/USDT,61.0,EQX/USDT,92.0,EQX/BTC,11.0,EQX/BTC,117.0,EQX/USDT,4.0,EQX/USDT,63.0,EQX/USDT,155.0,EQX/USDT,13.0,EQX/BTC,1.0
APEX Protocol,N/A,N/A,N/A,N/A,N/A
Cypherium,N/A,N/A,N/A,N/A,N/A,Liquid,MEXC,XT.COM,CPH/USDT,12.0,CPH/USDT,23.0,CPH/USDT,2.0
Civilization,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),ProBit Global,ShibaSwap,BitMart,Bittrex,CIV/WETH,0,CIV/USDT,3.0,CIV/USDT,110.0,CIV/WETH,0,CIV/USDT,6.0
Red Inu,0x12a68C0deC98916eADC394d71FE749b982e66d08,Binance Smart Chain (BEP20),False,12,12,PancakeSwap (V2),REDINU/WBNB,0
ssv.network,N/A,N/A,N/A,N/A,N/A
HarmonyPad,0x7009bd9a1369e74457cdac84191ca83f33e89217,Binance Smart Chain (BEP20),True,N/A,N/A
Krypton Galaxy Coin,N/A,N/A,N/A,N/A,N/A
apM Coin,0xf9c27de474cce832fad75107853b78838888ac11,Binance Smart Chain (BEP20),False,0,0,Bithumb,Bittrex,OKEx,Hotbit,Hotbit,Bittrex,HitBTC,APM/KRW,109.0,APM/USDT,9.9227505439,APM/BTC,11.0,APM/USDT,95.0,APM/BTC,1.0,APM/USDT,1.0,APM/BTC,1.0
Safe Trip Finance,0xe3916a4dc3c952c78348379a62d66869d9b59942,Binance Smart Chain (BEP20),False,0,0
Hpdex,N/A,N/A,N/A,N/A,N/A,Bibox,HPD/USDT,1.0
Boo Finance,N/A,N/A,N/A,N/A,N/A,TraderJoe,Pangolin,TraderJoe,TraderJoe,Lydia Finance,BOOFI/WAVAX,0,BOOFI/WAVAX,0,BOOFI/PEFI,0,AVE/BOOFI,0,BOOFI/WAVAX,0
AgeOfGods,0x40c8225329bd3e28a043b029e0d07a5344d2c27c,Binance Smart Chain (BEP20),False,0,0,PancakeSwap (V2),AOG/BUSD,0
Xfinance,N/A,N/A,N/A,N/A,N/A
CryptoVsZombie,0x6fBB278C4eaa5218495a1858447B26D905ac0010,Binance Smart Chain (BEP20),False,0,0
NinjaFloki,0xf1968d4113e87e88cf50e6f0e1820dcbd29c4a90,Binance Smart Chain (BEP20),False,9,9,Finexbox,NJF/USDT,0
DigiFinexToken,N/A,N/A,N/A,N/A,N/A,DigiFinex,DFT/USDT,157.0
WALTERINU,0x42c1613dd2236cfd60b5cbec846b5ead71be99df,Binance Smart Chain (BEP20),False,5,13,PancakeSwap (V2),$WINU/WBNB,0
AtromG8,0xEF7C2B756149c4F5A4f6EAe1f3613fdbB6BbC568,Binance Smart Chain (BEP20),False,0,0,ProBit Global,Bibox,AG8/USDT,80.0,AG8/USDT,1.0
Alphacat,N/A,N/A,N/A,N/A,N/A
Onooks,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),Uniswap (V3),Txbit,Txbit,OOKS/WETH,0,OOKS/ETH,11.0,OOKS/BTC,5.2395302143,OOKS/WETH,0
